StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4_1,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,NetID,How much of an impact do you believe that climate change will have on human health in your lifetime? - Impact,"For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Cardiology","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Dermatology","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Infectious Disease","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Neurology","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Psychiatry","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Pulmonology","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Surgery & Subspecialties",What is the approximate relative risk (RR) for developing asthma in children living in urban areas compared to those living in rural areas? (RR = Urban Risk/Rural Risk) - Relative Risk,"Particulates of all sizes are suspended in the air we breathe. “PM #” indicates all particulate matter (PM) below a certain diameter (#).  So, PM 70 would indicate all particulates 

 Which PM size is most dangerous to human health?


 **Halfway…it’s all down hill from here**",What happens to particles that are > 25 μm in diameter (PM > 25) when we breath them in?,Which of the following sources can emit PM 2.5? (check all that apply),Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Source of Drinking Water,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Forest Fire Exposure,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Access to Air Conditioning,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Back-up for Power Outage,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Access of Heat in Winter,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Rural vs. Urban Living,How important do you believe that taking an environmental health history (please reference previous question) is for primary care physicians? - Not at all important,Describe any obstacles that would impact you personally in delivering environmental health care to patients?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID12_TEXT""}"
2024-04-03 13:54:14,2024-04-03 13:56:23,IP Address,172.225.110.7,100,129,True,2024-04-03 13:56:24,R_5SXLtciRotnPbrj,,,,,39.9528,-75.1646,qr,EN,Ms3648,4,4,4,5,3,1,5,3,4.5,PM < 2.5 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,"Cars,Dirt Roads,Electric Vehicles,Fireplaces,Pollen,Trucks",2,1,1,1,1,3,7,Questions and skepticism
2024-04-03 13:54:05,2024-04-03 13:56:44,IP Address,130.219.10.90,100,159,True,2024-04-03 13:56:44,R_2TIiOSSEQUzflyV,,,,,40.4999,-74.4247,qr,EN,Mm3555,5,5,5,5,4,5,5,4,4.5,PM < 2.5 μm,Particles of this size are generally absorbed in the respiratory tract and safely excreted in mucus.,"Cars,Fireplaces",4,4,4,4,,4,10,"Hospital regulations and time constraints with patients. "
2024-04-03 13:53:42,2024-04-03 13:57:30,IP Address,172.59.215.83,100,227,True,2024-04-03 13:57:30,R_8rM6EkPKRCy1yca,,,,,40.7256,-74.1594,qr,EN,ak1709,5,5,5,5,5,5,5,3,2.5,PM < 0.25 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,"Cars,Dirt Roads,Pollen",5,5,5,2,5,3,10,"Knowledge about it
Time "
2024-04-03 13:54:02,2024-04-03 13:57:34,IP Address,130.219.10.90,100,211,True,2024-04-03 13:57:35,R_8EXy0ZwCEjxzSV6,,,,,40.4999,-74.4247,qr,EN,Wc614,4,4,5,4,5,5,5,5,4,PM < 10 μm,,"Cars,Dirt Roads,Electric Vehicles,Fireplaces,Pollen,Trucks",5,2,3,1,5,1,8,"Implicit bias or people not knowing their own environment "
2024-04-03 13:53:37,2024-04-03 13:59:22,IP Address,130.219.10.90,100,345,True,2024-04-03 13:59:23,R_7hAOFCQjIN8nEon,,,,,40.4999,-74.4247,qr,EN,Co384,3,2,4,4,1,3,5,1,2,PM < 1 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,"Cars,Dirt Roads,Fireplaces,Pollen,Trucks",1,1,2,0,2,4,3,Not enough time during visits.
2024-04-03 14:22:29,2024-04-03 14:23:01,IP Address,130.219.10.90,100,31,True,2024-04-03 14:23:01,R_5fjqtFJTpVZ4zsI,,,,,40.4999,-74.4247,qr,EN,,3,,,,,,,,,PM < 0.25 μm,,,,,,,,,,
2024-04-03 14:22:23,2024-04-03 14:23:31,IP Address,130.219.10.90,100,67,True,2024-04-03 14:23:31,R_5oaMZ43P3AEMM9X,,,,,40.4999,-74.4247,qr,EN,,3,4,2,4,1,0,5,3,3,PM < 2.5 μm,Particles of this size reach the bronchial tree where they corrode the alveolar parenchyma.,"Cars,Dirt Roads,Fireplaces",3,3,3,4,3,1,5,
2024-04-03 14:22:32,2024-04-03 14:23:38,IP Address,130.219.10.90,100,66,True,2024-04-03 14:23:39,R_1cAdnF04otTlTTv,,,,,40.4999,-74.4247,qr,EN,dkd74,5,5,5,5,5,5,5,5,3.5,PM < 1 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,"Dirt Roads,Electric Vehicles",4,3,4,3,4,3,7,
