StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4_1,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,NetID,How much of an impact do you believe that climate change will have on human health in your lifetime? - Impact,"For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Cardiology","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Dermatology","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Infectious Disease","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Neurology","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Psychiatry","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Pulmonology","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Surgery & Subspecialties",What is the approximate relative risk (RR) for developing asthma in children living in urban areas compared to those living in rural areas? (RR = Urban Risk/Rural Risk) - Relative Risk,"Particulates of all sizes are suspended in the air we breathe. “PM #” indicates all particulate matter (PM) below a certain diameter (#).  So, PM 70 would indicate all particulates 

 Which PM size is most dangerous to human health?


 **Halfway…it’s all down hill from here**",What happens to particles that are > 25 μm in diameter (PM > 25) when we breath them in?,Which of the following sources can emit PM 2.5? (check all that apply),Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Source of Drinking Water,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Forest Fire Exposure,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Access to Air Conditioning,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Back-up for Power Outage,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Access of Heat in Winter,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Rural vs. Urban Living,How important do you believe that taking an environmental health history (please reference previous question) is for primary care physicians? - Not at all important,Please describe any area of environmental medicine you would be interested in learning more about! (Can include topics covered in the EH lecture)
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID12_TEXT""}"
2024-04-03 14:43:20,2024-04-03 14:44:25,IP Address,128.6.37.4,100,65,True,2024-04-03 14:44:26,R_57vQJ0wEJwDgXDO,,,,,40.5511,-74.4606,qr,EN,akr83,5,4,4,4,4,4,4,4,4.5,PM < 2.5 μm,Particles of this size are generally absorbed in the respiratory tract and safely excreted in mucus.,"Cars,Dirt Roads,Fireplaces,Pollen,Trucks",4,4,4,4,4,4,10,
2024-04-03 14:43:32,2024-04-03 14:44:27,IP Address,128.6.36.100,100,54,True,2024-04-03 14:44:27,R_5wcO3NYAOWKh2O4,,,,,40.5511,-74.4606,qr,EN,,5,5,5,5,5,5,5,5,5,PM < 2.5 μm,Particles of this size reach the bronchial tree where they corrode the alveolar parenchyma.,"Cars,Fireplaces,Trucks",5,5,5,4,4,5,10,
2024-04-03 14:43:23,2024-04-03 14:44:27,IP Address,130.219.10.90,100,64,True,2024-04-03 14:44:28,R_2CjMvuOk0LhPnKY,,,,,40.4999,-74.4247,qr,EN,,5,4,5,5,3,5,5,3,3.5,PM < 2.5 μm,Particles of this size reach the bronchial tree where they corrode the alveolar parenchyma.,"Cars,Fireplaces,Trucks",2,2,4,4,5,3,6,
2024-04-03 14:43:25,2024-04-03 14:44:36,IP Address,128.6.37.204,100,71,True,2024-04-03 14:44:36,R_5rutjk3LjBRn4Wh,,,,,40.5511,-74.4606,qr,EN,zl403,5,5,5,5,5,5,5,5,3,PM < 2.5 μm,Particles of this size are generally absorbed in the respiratory tract and safely excreted in mucus.,"Cars,Dirt Roads,Electric Vehicles,Fireplaces,Pollen,Trucks",5,5,5,5,5,5,10,
2024-04-03 14:43:24,2024-04-03 14:44:38,IP Address,174.230.183.46,100,74,True,2024-04-03 14:44:39,R_7HTxJ6UyMf6xYrw,,,,,40.8022,-74.1914,qr,EN,sg1943,5,5,5,5,5,4,5,3,4,PM < 0.25 μm,Particles of this size are generally absorbed in the respiratory tract and safely excreted in mucus.,"Cars,Dirt Roads,Fireplaces",4,4,5,4,4,5,8,
2024-04-03 14:43:35,2024-04-03 14:44:39,IP Address,128.6.37.0,100,64,True,2024-04-03 14:44:39,R_5kvwX4NMeLH0fqG,,,,,40.5511,-74.4606,qr,EN,sr1124,5,5,5,5,4,4,5,5,3,PM < 2.5 μm,Particles of this size reach the bronchial tree where they corrode the alveolar parenchyma.,Cars,4,4,3,3,3,5,10,
2024-04-03 14:43:31,2024-04-03 14:44:46,IP Address,128.6.37.30,100,75,True,2024-04-03 14:44:47,R_3HuNpzjdjbF4dcl,,,,,40.5511,-74.4606,qr,EN,sb2494,5,4,4,5,2,5,5,3,3,PM < 2.5 μm,Particles of this size are generally absorbed in the respiratory tract and safely excreted in mucus.,"Cars,Dirt Roads,Electric Vehicles,Fireplaces,Pollen,Trucks",4,4,5,4,5,5,8,
2024-04-03 14:43:28,2024-04-03 14:44:46,IP Address,130.219.10.90,100,77,True,2024-04-03 14:44:47,R_5LjpEktoSmUXnOW,,,,,40.4999,-74.4247,qr,EN,de252,4,4,4,5,4,4,4,2,2.5,PM < 2.5 μm,Particles of this size are generally absorbed in the respiratory tract and safely excreted in mucus.,"Cars,Dirt Roads,Electric Vehicles,Fireplaces,Pollen,Trucks",4,4,4,4,4,4,6,
