StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4_1,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,NetID,How much of an impact do you believe that climate change will have on human health in your lifetime? - Impact,"For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Cardiology","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Dermatology","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Infectious Disease","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Neurology","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Psychiatry","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Pulmonology","For each of the following specialties,  impacted by climate change, do you believe each of the following specialties will be? (Please rank on a scale of 0 - 5) - Surgery & Subspecialties",What is the approximate relative risk (RR) for developing asthma in children living in urban areas compared to those living in rural areas? (RR = Urban Risk/Rural Risk) - Relative Risk,"Particulates of all sizes are suspended in the air we breathe. “PM #” indicates all particulate matter (PM) below a certain diameter (#).  So, PM 70 would indicate all particulates 

 Which PM size is most dangerous to human health?


 **Halfway…it’s all down hill from here**",What happens to particles that are > 25 μm in diameter (PM > 25) when we breath them in?,Which of the following sources can emit PM 2.5? (check all that apply),Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Source of Drinking Water,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Forest Fire Exposure,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Access to Air Conditioning,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Back-up for Power Outage,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Access of Heat in Winter,Please rate how likely you are to ascertaining exposure to each of the following potential environmental health risk factors in your future patients? - Rural vs. Urban Living,How important do you believe that taking an environmental health history (please reference previous question) is for primary care physicians? - Not at all important,Describe any obstacles that would impact you personally in delivering environmental health care to patients?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID12_TEXT""}"
2023-03-22 15:00:45,2023-03-22 15:01:10,Survey Preview,,100,24,True,2023-03-22 15:01:11,R_1MSwLnbDwzGuX4E,,,,,40.5511,-74.4606,preview,EN,,,,,,,,,,,,,,,,,,,,,
2023-03-22 15:01:44,2023-03-22 15:02:00,Survey Preview,,100,16,True,2023-03-22 15:02:01,R_BG2vNSrwIUMA76h,,,,,40.5511,-74.4606,preview,EN,,,,,,,,,,,,,,,,,,,,,
2023-04-07 15:54:50,2023-04-07 15:57:11,IP Address,71.168.155.4,100,140,True,2023-04-07 15:57:12,R_1QaqWN2CbiBnw76,,,,,40.266,-74.5217,anonymous,EN,Jm2722,3,3,2,4,3,3,5,1,4,PM < 1 μm,Particles of this size include dust and pollen and are the main source of seasonal rhinitis,"Cars,Dirt Roads,Fireplaces,Pollen",1,1,2,2,4,5,6,
2023-04-07 15:54:35,2023-04-07 15:57:50,IP Address,130.156.160.114,100,195,True,2023-04-07 15:57:51,R_2bOvpdE6AP2JFCg,,,,,40.5511,-74.4606,anonymous,EN,Nsa86,4,5,5,5,3,4,5,3,4,PM < 2.5 μm,Particles of this size reach the bronchial tree where they corrode the alveolar parenchyma.,"Cars,Dirt Roads,Electric Vehicles,Fireplaces,Pollen,Trucks",3,1,2,1,3,4,8,"I think time is a huge factor, If we only have 30 minutes with a patient we cannot ask them this, their full history, and figure out what is going on with them without seeming like we are just bombarding them with questions. I think surveys ahead of time could be helpful with this though because then we could target the things that they mentioned during the actual visit "
2023-04-07 16:01:44,2023-04-07 16:03:08,IP Address,69.142.217.141,100,84,True,2023-04-07 16:03:09,R_234qPUh4Nw9sZyn,,,,,40.3172,-74.4304,anonymous,EN,Jt999,2,2,4,2,2,3,2,2,2,PM < 0.25 μm,Particles of this diameter are unable to be suspended in air.,"Cars,Dirt Roads,Fireplaces,Trucks",2,3,1,2,2,2,5,"Affordability "
2023-04-07 16:03:13,2023-04-07 16:06:57,IP Address,74.105.3.71,100,224,True,2023-04-07 16:06:58,R_1FK5FbicUXkbIrH,,,,,40.4992,-74.4996,anonymous,EN,,4,4,4,5,2,2,5,3,3,PM < 10 μm,Particles of this size reach the bronchial tree where they corrode the alveolar parenchyma.,"Cars,Dirt Roads,Fireplaces,Pollen,Trucks",4,0,2,2,4,3,6,"I think that context is pretty important. If I lived in a metropolitan area, certain environmental questions would be more important than others."
2023-04-07 16:09:20,2023-04-07 16:10:45,IP Address,100.1.38.77,100,84,True,2023-04-07 16:10:45,R_3hrOCqZYlk9v0xr,,,,,39.53,-74.4902,anonymous,EN,,4,4,3,4,2,1,4,1,5,PM < 1 μm,Particles of this size are generally absorbed in the respiratory tract and safely excreted in mucus.,"Cars,Dirt Roads,Electric Vehicles",5,4,5,4,5,5,8,
2023-04-07 16:08:07,2023-04-07 16:12:58,IP Address,71.58.38.151,100,291,True,2023-04-07 16:12:58,R_2aULKbdsiEPzODH,,,,,39.9458,-74.9042,anonymous,EN,crk117,5,4,5,5,5,5,5,4,4.5,PM < 0.05 μm,Particles of this size reach the bronchial tree where they corrode the alveolar parenchyma.,"Cars,Fireplaces,Trucks",1,1,2,1,2,4,7,lack of knowledge ! but I want to learn more!!
